pmid,primary_domain,domains
58611,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
98518,Microbiology & virology,Microbiology & virology
134458,Pediatrics,Infectious diseases|Pediatrics
152622,Neurology,Neurology
159767,Pharmacology/therapeutics & drug discovery,Gastroenterology & hepatology|Pharmacology/therapeutics & drug discovery
164552,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
187357,Unmapped,
207959,Unmapped,
215035,Cardiovascular medicine,Cardiovascular medicine
216895,Unmapped,
273896,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
305444,Immunology & allergy,Immunology & allergy
308705,Pediatrics,Infectious diseases|Pediatrics
402951,Oncology & neoplasms,Oncology & neoplasms
422845,Endocrinology & metabolism,Endocrinology & metabolism
452602,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
453349,Neurology,Neurology
489960,Microbiology & virology,Infectious diseases|Microbiology & virology
515866,Unmapped,
557175,Unmapped,
572507,Ophthalmology & vision,Cardiovascular medicine|Ophthalmology & vision
619442,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
835775,Unmapped,
842775,Microbiology & virology,Microbiology & virology
880738,Pediatrics,Pediatrics
921453,Unmapped,
952809,Ophthalmology & vision,Ophthalmology & vision
1031954,Cardiovascular medicine,Cardiovascular medicine
1079649,Infectious diseases,Infectious diseases
1083874,Unmapped,
1084238,Hematology,Hematology
1128606,Pediatrics,Dermatology|Genetics/genomics & molecular biology|Pediatrics
1163864,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
1199995,Gastroenterology & hepatology,Gastroenterology & hepatology
1224004,Neurology,Neurology
1292416,Unmapped,
1309939,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1311751,Psychiatry & psychology,Neurology|Psychiatry & psychology
1317658,Neurology,Cardiovascular medicine|Neurology
1321044,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1328936,Unmapped,
1330823,Microbiology & virology,Microbiology & virology
1331501,Oncology & neoplasms,Oncology & neoplasms
1341423,Unmapped,
1346886,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
1346973,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1347910,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1353910,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1357906,Neurology,Cardiovascular medicine|Neurology
1359423,Neurology,Genetics/genomics & molecular biology|Neurology
1366776,Immunology & allergy,Immunology & allergy
1377459,Oncology & neoplasms,Oncology & neoplasms
1379146,Dermatology,Dermatology
1387133,Pharmacology/therapeutics & drug discovery,Infectious diseases|Pharmacology/therapeutics & drug discovery
1388826,Oncology & neoplasms,Oncology & neoplasms
1394244,Cardiovascular medicine,Cardiovascular medicine
1395299,Orthopedics & musculoskeletal,Oncology & neoplasms|Orthopedics & musculoskeletal
1403261,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive|Orthopedics & musculoskeletal
1406836,Endocrinology & metabolism,Endocrinology & metabolism
1410202,Psychiatry & psychology,Psychiatry & psychology
1415533,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
1417404,Cardiovascular medicine,Cardiovascular medicine
1424198,Endocrinology & metabolism,Endocrinology & metabolism
1430149,Neurology,Immunology & allergy|Neurology
1443362,Unmapped,
1449769,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1465304,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
1474300,Cardiovascular medicine,Cardiovascular medicine
1475128,Pediatrics,Orthopedics & musculoskeletal|Pediatrics
1480396,Unmapped,
1498111,Pediatrics,Neurology|Orthopedics & musculoskeletal|Pediatrics
1511378,Oncology & neoplasms,Oncology & neoplasms
1511475,Cardiovascular medicine,Cardiovascular medicine
1519448,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1520330,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1524841,Unmapped,
1530123,Obstetrics/gynecology & reproductive,Hematology|Obstetrics/gynecology & reproductive
1539009,Gastroenterology & hepatology,Gastroenterology & hepatology
1543904,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1554931,Unmapped,
1556753,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1562972,Oncology & neoplasms,Hematology|Oncology & neoplasms
1574115,Pharmacology/therapeutics & drug discovery,Genetics/genomics & molecular biology|Hematology|Pharmacology/therapeutics & drug discovery
1580196,Neurology,Neurology
1590260,Genetics/genomics & molecular biology,Endocrinology & metabolism|Genetics/genomics & molecular biology
1595355,Cardiovascular medicine,Cardiovascular medicine
1598200,Unmapped,
1611701,Cardiovascular medicine,Cardiovascular medicine
1614156,Ophthalmology & vision,Ophthalmology & vision
1628536,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
1638117,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1638160,Ophthalmology & vision,Ophthalmology & vision
1646072,Oncology & neoplasms,Oncology & neoplasms
1651889,Unmapped,
1663195,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
1681473,Neurology,Neurology
1685343,Neurology,Neurology
1689595,Pediatrics,Orthopedics & musculoskeletal|Pediatrics
1705835,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1713403,Cardiovascular medicine,Cardiovascular medicine
1731087,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1736462,Unmapped,
1743414,Pediatrics,Neurology|Pediatrics
1747932,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
1748476,Oncology & neoplasms,Oncology & neoplasms
1749589,Pharmacology/therapeutics & drug discovery,Endocrinology & metabolism|Oncology & neoplasms|Pharmacology/therapeutics & drug discovery
1777133,Unmapped,
1781093,Infectious diseases,Infectious diseases
1791375,Unmapped,
1827123,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1832527,Pharmacology/therapeutics & drug discovery,Immunology & allergy|Infectious diseases|Pharmacology/therapeutics & drug discovery
1851838,Neurology,Neurology
1852180,Endocrinology & metabolism,Endocrinology & metabolism
1884861,Unmapped,
1896728,Neurology,Neurology
1919367,Neurology,Neurology
